,Player,Nation,Pos,Age,TotlMin,Games,sc_G,sc_A,sc_GA,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR
409,Pedro Neto,pt POR,"FW,MF",23.0,20,18,2.0,9.0,11.0,4.0,0.0,3.5,4.4,7.9,98.0,54.0,149.0
410,Tommy Doyle,eng ENG,MF,21.0,26,11,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.9,21.0,81.0,17.0
411,Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,22,10,2.0,1.0,3.0,0.0,1.0,1.6,1.0,2.5,30.0,39.0,49.0
412,Matt Doherty,ie IRL,"DF,MF",31.0,30,9,1.0,0.0,1.0,2.0,0.0,0.8,1.3,2.2,12.0,31.0,64.0
413,Santiago Bueno,uy URU,DF,24.0,12,9,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,3.0,11.0,2.0
414,Boubacar Traoré,ml MLI,MF,21.0,24,7,0.0,0.0,0.0,4.0,0.0,0.3,0.4,0.7,9.0,29.0,15.0
415,Hugo Bueno,es ESP,"DF,MF",20.0,22,7,0.0,0.0,0.0,1.0,0.0,0.3,0.8,1.0,22.0,8.0,40.0
416,Daniel Bentley,eng ENG,GK,30.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,Fábio Silva,pt POR,FW,21.0,8,3,0.0,0.0,0.0,2.0,0.0,1.0,0.2,1.2,5.0,10.0,13.0
418,Matheus Nunes,pt POR,MF,24.0,2,2,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.2,7.0,8.0,9.0
419,Leon Chiwome,eng ENG,FW,17.0,3,2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.0,2.0,7.0
420,Nathan Fraser,ie IRL,FW,18.0,7,1,0.0,0.0,0.0,1.0,0.0,0.3,0.1,0.4,1.0,2.0,21.0
421,Sasa Kalajdzic,at AUT,FW,26.0,11,1,2.0,0.0,2.0,0.0,0.0,1.1,1.0,2.0,1.0,5.0,9.0
422,Tawanda Chirewa,zw ZIM,"MF,FW",19.0,8,1,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,1.0,7.0,8.0
423,Jonny Castro,es ESP,MF,29.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,Enso Gonzalez,py PAR,"MF,DF",18.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
425,Mark Flekken,nl NED,GK,30.0,37,37,0.0,1.0,1.0,3.0,0.0,0.0,0.5,0.5,0.0,5.0,0.0
426,Vitaly Janelt,de GER,"MF,DF",25.0,38,37,1.0,3.0,4.0,8.0,0.0,1.8,4.8,6.5,25.0,123.0,81.0
427,Christian Nørgaard,dk DEN,MF,29.0,31,30,2.0,1.0,3.0,8.0,0.0,3.5,1.9,5.4,15.0,161.0,42.0
428,Nathan Collins,ie IRL,DF,22.0,32,29,1.0,1.0,2.0,3.0,0.0,1.7,2.2,3.9,11.0,97.0,18.0
429,Yoane Wissa,cd COD,FW,26.0,34,29,12.0,3.0,15.0,7.0,0.0,10.6,3.9,14.5,45.0,48.0,150.0
430,Ethan Pinnock,jm JAM,DF,30.0,29,28,2.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,11.0,61.0,16.0
431,Mathias Jensen,dk DEN,MF,27.0,32,27,3.0,3.0,6.0,5.0,0.0,0.7,4.0,4.7,19.0,123.0,66.0
432,Mads Roerslev,dk DEN,DF,24.0,34,22,1.0,2.0,3.0,1.0,0.0,0.9,1.8,2.7,18.0,43.0,90.0
433,Bryan Mbeumo,cm CMR,FW,23.0,25,22,9.0,6.0,15.0,2.0,0.0,9.8,4.6,12.1,74.0,88.0,195.0
434,Kristoffer Ajer,no NOR,DF,25.0,28,21,2.0,1.0,3.0,5.0,0.0,1.3,2.3,3.6,22.0,61.0,31.0
435,Ivan Toney,eng ENG,FW,27.0,17,16,4.0,2.0,6.0,5.0,0.0,6.0,1.5,7.4,23.0,40.0,98.0
436,Keane Lewis-Potter,eng ENG,"FW,DF",22.0,30,15,3.0,1.0,4.0,0.0,0.0,6.3,1.7,8.0,56.0,32.0,135.0
437,Ben Mee,eng ENG,DF,33.0,16,15,2.0,0.0,2.0,1.0,1.0,1.5,0.3,1.8,11.0,49.0,9.0
438,Sergio Reguilón,es ESP,DF,26.0,16,14,0.0,4.0,4.0,4.0,1.0,0.8,2.8,3.6,34.0,38.0,40.0
439,Neal Maupay,fr FRA,FW,26.0,29,13,6.0,3.0,9.0,8.0,0.0,5.7,2.3,8.1,21.0,37.0,91.0
440,Mathias Jørgensen,dk DEN,DF,33.0,14,12,1.0,0.0,1.0,4.0,0.0,0.7,0.9,1.7,5.0,50.0,4.0
441,Frank Onyeka,ng NGA,MF,25.0,26,11,1.0,2.0,3.0,8.0,0.0,2.2,1.8,4.0,17.0,33.0,39.0
442,Aaron Hickey,sct SCO,DF,21.0,9,9,0.0,0.0,0.0,5.0,0.0,0.2,0.1,0.3,9.0,21.0,13.0
443,Mikkel Damsgaard,dk DEN,MF,23.0,23,7,0.0,2.0,2.0,2.0,0.0,0.9,1.4,2.4,16.0,61.0,32.0
444,Saman Ghoddos,ir IRN,DF,29.0,19,7,1.0,0.0,1.0,5.0,0.0,0.3,1.1,1.4,22.0,36.0,31.0
445,Yehor Yarmoliuk,ua UKR,MF,19.0,27,6,0.0,0.0,0.0,2.0,0.0,1.0,0.1,1.1,13.0,35.0,36.0
446,Rico Henry,eng ENG,DF,26.0,5,5,0.0,1.0,1.0,1.0,0.0,0.1,1.0,1.1,13.0,20.0,12.0
447,Kevin Schade,de GER,"FW,MF",21.0,11,3,2.0,1.0,3.0,0.0,0.0,1.2,0.7,1.9,8.0,9.0,23.0
448,Shandon Baptiste,gd GRN,MF,25.0,10,2,1.0,1.0,2.0,1.0,0.0,0.9,0.2,1.1,3.0,5.0,1.0
449,Thomas Strakosha,al ALB,GK,28.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Michael Olakigbe,eng ENG,"DF,FW",19.0,8,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,10.0,4.0,17.0
451,Josh Dasilva,eng ENG,"DF,FW",24.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,2.0,5.0
452,Myles Peart-Harris,eng ENG,"DF,MF",20.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
453,Morgan Gibbs-White,eng ENG,"MF,FW",23.0,37,35,5.0,10.0,15.0,9.0,0.0,6.9,8.4,14.6,80.0,170.0,181.0
454,Murillo,br BRA,DF,21.0,32,32,0.0,2.0,2.0,5.0,0.0,1.8,1.2,3.0,22.0,89.0,7.0
455,Anthony Elanga,se SWE,"FW,MF",21.0,36,25,5.0,9.0,14.0,1.0,0.0,6.6,6.7,13.3,98.0,49.0,196.0
456,Ryan Yates,eng ENG,MF,25.0,35,21,1.0,1.0,2.0,6.0,0.0,2.6,0.8,3.5,18.0,73.0,37.0
457,Callum Hudson-Odoi,eng ENG,"FW,MF",22.0,29,20,8.0,1.0,9.0,0.0,0.0,2.7,2.8,5.5,111.0,58.0,171.0
458,Chris Wood,nz NZL,FW,31.0,31,20,14.0,1.0,15.0,0.0,0.0,11.9,2.1,14.0,16.0,30.0,76.0
459,Danilo,br BRA,MF,22.0,29,20,2.0,2.0,4.0,4.0,0.0,1.8,1.5,3.4,22.0,83.0,28.0
460,Ola Aina,ng NGA,DF,26.0,22,20,1.0,1.0,2.0,3.0,0.0,0.3,0.9,1.2,53.0,68.0,38.0
461,Orel Mangala,be BEL,MF,25.0,20,19,1.0,0.0,1.0,6.0,0.0,0.8,0.2,1.1,13.0,45.0,14.0
462,Nicolás Domínguez,ar ARG,"MF,FW",25.0,26,19,2.0,2.0,4.0,4.0,0.0,1.3,1.0,2.3,14.0,91.0,43.0
463,Neco Williams,wls WAL,DF,22.0,26,18,0.0,1.0,1.0,4.0,0.0,0.8,1.6,2.5,48.0,47.0,86.0
464,Willy Boly,ci CIV,DF,32.0,20,18,2.0,1.0,3.0,3.0,1.0,1.5,1.3,2.8,4.0,32.0,3.0
465,Matt Turner,us USA,GK,29.0,17,17,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Matz Sels,be BEL,GK,31.0,16,16,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
467,Moussa Niakhate,sn SEN,DF,27.0,21,15,1.0,0.0,1.0,5.0,1.0,1.1,0.1,1.2,13.0,39.0,6.0
468,Harry Toffolo,eng ENG,DF,27.0,23,15,1.0,3.0,4.0,3.0,0.0,1.6,1.5,3.2,10.0,42.0,34.0
469,Ibrahim Sangaré,ci CIV,MF,25.0,17,13,0.0,0.0,0.0,6.0,0.0,0.6,0.4,1.0,5.0,44.0,7.0
470,Taiwo Awoniyi,ng NGA,FW,25.0,20,12,6.0,3.0,9.0,2.0,0.0,4.7,1.7,6.4,8.0,14.0,45.0
471,Serge Aurier,ci CIV,"DF,MF",30.0,12,10,0.0,2.0,2.0,2.0,0.0,0.2,0.5,0.6,10.0,47.0,29.0
472,Gonzalo Montiel,ar ARG,DF,26.0,14,8,0.0,2.0,2.0,5.0,0.0,0.1,1.4,1.5,10.0,28.0,32.0
473,Andrew Omobamidele,ie IRL,DF,21.0,11,8,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,1.0,8.0,0.0
474,Divock Origi,be BEL,FW,28.0,20,6,0.0,1.0,1.0,1.0,0.0,1.4,2.1,3.5,19.0,14.0,41.0
475,Nuno Tavares,pt POR,DF,23.0,8,5,0.0,0.0,0.0,2.0,0.0,0.2,0.5,0.7,14.0,24.0,12.0
476,Odisseas Vlachodimos,gr GRE,GK,29.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
477,Joe Worrall,eng ENG,DF,26.0,7,5,0.0,0.0,0.0,0.0,1.0,0.1,0.2,0.3,0.0,8.0,1.0
478,Scott McKenna,sct SCO,DF,26.0,5,5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.0,10.0,0.0
479,Felipe,br BRA,DF,34.0,7,4,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,1.0,6.0,0.0
480,Brennan Johnson,wls WAL,"FW,MF",22.0,3,3,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,8.0,1.0,14.0
481,Gio Reyna,us USA,"FW,MF",20.0,9,2,0.0,1.0,1.0,0.0,0.0,0.3,0.5,0.8,3.0,12.0,14.0
482,Cheikhou Kouyaté,sn SEN,MF,33.0,12,2,0.0,0.0,0.0,2.0,0.0,0.3,0.0,0.3,0.0,5.0,5.0
483,Rodrigo Ribeiro,pt POR,"MF,FW",18.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
484,Andrey Santos,br BRA,MF,19.0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0
485,Brandon Aguilera,cr CRC,FW,20.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
486,Thomas Kaminski,be BEL,GK,30.0,38,38,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
487,Alfie Doughty,eng ENG,DF,23.0,37,34,2.0,8.0,10.0,5.0,0.0,1.3,6.3,7.6,94.0,106.0,164.0
488,Carlton Morris,eng ENG,"FW,MF",27.0,38,32,11.0,4.0,15.0,4.0,0.0,11.4,2.8,10.2,37.0,56.0,120.0
489,Ross Barkley,eng ENG,MF,29.0,32,30,5.0,4.0,9.0,6.0,0.0,4.1,3.7,7.9,48.0,163.0,39.0
490,Teden Mengi,eng ENG,DF,21.0,30,28,1.0,0.0,1.0,3.0,0.0,0.6,0.3,0.9,15.0,54.0,1.0
491,Gabriel Osho,ng NGA,DF,24.0,21,21,2.0,0.0,2.0,3.0,0.0,1.1,0.1,1.2,10.0,37.0,4.0
492,Issa Kaboré,bf BFA,DF,22.0,24,21,0.0,2.0,2.0,7.0,0.0,0.2,2.1,2.3,60.0,54.0,85.0
493,Amari'i Bell,jm JAM,DF,29.0,21,21,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.7,32.0,76.0,10.0
494,Chiedozie Ogbene,ie IRL,"MF,DF",26.0,30,20,4.0,1.0,5.0,1.0,0.0,4.2,3.1,7.4,127.0,53.0,150.0
495,Tahith Chong,nl NED,"MF,FW",23.0,33,20,4.0,0.0,4.0,4.0,0.0,2.7,0.5,3.2,57.0,72.0,101.0
496,Reece Burke,eng ENG,DF,26.0,22,20,0.0,4.0,4.0,5.0,0.0,1.3,1.4,2.7,11.0,67.0,14.0
497,Elijah Adebayo,eng ENG,FW,25.0,27,16,10.0,0.0,10.0,1.0,0.0,5.9,0.7,6.6,16.0,23.0,110.0
498,Albert Sambi Lokonga,be BEL,MF,23.0,17,16,1.0,3.0,4.0,4.0,0.0,0.6,1.4,2.0,29.0,72.0,13.0
499,Jordan Clark,eng ENG,MF,29.0,23,14,1.0,1.0,2.0,4.0,0.0,1.0,1.3,2.2,21.0,51.0,39.0
500,Andros Townsend,eng ENG,"MF,FW",32.0,27,14,1.0,3.0,4.0,1.0,0.0,1.2,1.3,2.5,47.0,35.0,71.0
501,Tom Lockyer,wls WAL,DF,28.0,14,14,1.0,1.0,2.0,4.0,0.0,1.1,0.6,1.7,6.0,37.0,2.0
502,Marvelous Nakamba,zw ZIM,MF,29.0,13,13,0.0,0.0,0.0,5.0,0.0,0.2,0.4,0.6,1.0,36.0,5.0
503,Jacob Brown,sct SCO,"MF,FW",25.0,19,12,2.0,0.0,2.0,4.0,0.0,2.8,0.7,3.4,25.0,19.0,53.0
504,Pelly Ruddock Mpanzu,cd COD,MF,30.0,27,11,0.0,0.0,0.0,1.0,0.0,0.6,0.4,1.1,10.0,34.0,15.0
505,Daiki Hashioka,jp JPN,DF,24.0,10,6,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.8,3.0,21.0,16.0
506,Ryan John Giles,eng ENG,"DF,MF",23.0,11,5,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,9.0,17.0,30.0
507,Fred Onyedinma,eng ENG,"DF,MF",26.0,8,4,0.0,0.0,0.0,1.0,0.0,0.2,0.1,0.3,9.0,6.0,21.0
508,Mads Juel Andersen,dk DEN,DF,25.0,8,4,1.0,0.0,1.0,1.0,0.0,0.3,0.0,0.3,0.0,7.0,1.0
509,Cauley Woodrow,eng ENG,"FW,MF",28.0,24,2,1.0,1.0,2.0,2.0,0.0,1.4,1.2,2.6,7.0,6.0,22.0
510,Luke Berry,eng ENG,"MF,DF",31.0,17,2,2.0,1.0,3.0,1.0,0.0,1.0,0.3,1.3,1.0,8.0,7.0
511,Joseph Johnson,eng ENG,DF,17.0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
512,James Shea,eng ENG,GK,32.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,Zack Nelson,eng ENG,"MF,DF",18.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,Sander Berge,no NOR,MF,25.0,37,34,1.0,2.0,3.0,10.0,1.0,1.9,2.4,4.3,64.0,164.0,29.0
515,Dara O'Shea,ie IRL,DF,24.0,33,32,3.0,4.0,7.0,5.0,1.0,0.7,2.0,2.7,32.0,122.0,10.0
516,James Trafford,eng ENG,GK,20.0,28,28,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
517,Zeki Amdouni,ch SUI,FW,22.0,34,27,5.0,1.0,6.0,2.0,0.0,5.8,1.4,6.5,63.0,49.0,93.0
518,Vitinho,br BRA,"DF,MF",24.0,32,26,0.0,2.0,2.0,1.0,0.0,1.6,1.3,2.9,59.0,66.0,110.0
519,Charlie Taylor,eng ENG,DF,29.0,28,25,1.0,1.0,2.0,8.0,0.0,0.2,1.2,1.5,36.0,82.0,81.0
520,Wilson Odobert,fr FRA,"MF,FW",18.0,29,25,3.0,2.0,5.0,3.0,0.0,2.8,3.3,6.1,102.0,58.0,123.0
521,Josh Brownhill,eng ENG,MF,27.0,33,23,4.0,2.0,6.0,4.0,1.0,1.9,2.1,4.0,19.0,90.0,36.0
522,Josh Cullen,ie IRL,MF,27.0,25,23,2.0,3.0,5.0,9.0,0.0,0.6,1.8,2.4,22.0,123.0,22.0
523,Lyle Foster,za RSA,"FW,MF",22.0,24,22,5.0,3.0,8.0,0.0,1.0,4.5,1.9,6.4,55.0,37.0,104.0
524,Jacob Bruun Larsen,dk DEN,"MF,FW",24.0,32,16,6.0,0.0,6.0,1.0,0.0,5.0,1.5,5.7,61.0,38.0,146.0
525,Maxime Estève,fr FRA,DF,21.0,16,15,0.0,0.0,0.0,6.0,0.0,0.3,0.0,0.3,15.0,40.0,3.0
526,Lorenz Assignon,tg TOG,DF,23.0,15,15,1.0,2.0,3.0,5.0,1.0,0.4,2.6,3.0,38.0,34.0,57.0
527,Jordan Beyer,de GER,DF,23.0,15,15,0.0,1.0,1.0,6.0,0.0,0.5,0.3,0.8,9.0,25.0,1.0
528,Luca Koleosho,it ITA,"MF,FW",18.0,15,13,1.0,1.0,2.0,0.0,0.0,2.0,1.3,3.3,53.0,19.0,82.0
529,Jóhann Berg Guðmundsson,is ISL,"MF,FW",32.0,26,12,1.0,3.0,4.0,2.0,0.0,1.9,2.7,4.5,13.0,59.0,69.0
530,Ameen Al-Dakhil,be BEL,DF,21.0,13,12,1.0,0.0,1.0,1.0,0.0,1.3,0.1,1.4,7.0,35.0,9.0
531,Arijanet Muric,xk KVX,GK,24.0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0
532,David Datro Fofana,ci CIV,FW,20.0,15,10,4.0,1.0,5.0,1.0,0.0,4.5,1.8,6.4,21.0,15.0,39.0
533,Connor Roberts,wls WAL,DF,27.0,14,8,0.0,1.0,1.0,5.0,1.0,0.0,0.2,0.2,6.0,38.0,13.0
534,Jay Rodriguez,eng ENG,FW,34.0,21,7,2.0,1.0,3.0,0.0,0.0,3.5,0.2,2.9,2.0,17.0,28.0
535,Hannes Delcroix,be BEL,DF,24.0,12,5,0.0,0.0,0.0,2.0,0.0,0.4,0.2,0.6,2.0,18.0,6.0
536,Aaron Ramsey,eng ENG,"MF,FW",20.0,14,5,0.0,0.0,0.0,1.0,0.0,0.3,0.4,0.7,8.0,8.0,17.0
537,Hjalmar Ekdal,se SWE,DF,24.0,8,5,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,5.0,11.0,1.0
538,Mike Trésor,be BEL,"FW,MF",24.0,16,3,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.9,15.0,10.0,31.0
539,Anass Zaroury,ma MAR,"FW,MF",22.0,6,1,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.2,2.0,2.0,12.0
540,Benson Manuel,ao ANG,"MF,FW",26.0,8,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,5.0,2.0,14.0
541,Nathan Redmond,eng ENG,"FW,MF",29.0,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,7.0,8.0,22.0
542,Jack Cork,eng ENG,MF,34.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0
543,Michael Obafemi,ie IRL,"FW,MF",23.0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,3.0
544,Han-Noah Massengo,fr FRA,"MF,DF",22.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
545,Gustavo Hamer,nl NED,MF,26.0,36,34,4.0,6.0,10.0,9.0,0.0,3.0,6.1,9.1,36.0,135.0,86.0
546,Jayden Bogle,eng ENG,DF,23.0,34,32,3.0,0.0,3.0,9.0,0.0,2.3,1.0,3.3,38.0,60.0,92.0
547,Jack Robinson,eng ENG,DF,29.0,34,31,1.0,1.0,2.0,10.0,0.0,1.2,1.2,2.4,8.0,63.0,14.0
548,Vinicius Souza,br BRA,MF,24.0,36,29,1.0,0.0,1.0,3.0,0.0,0.6,0.2,0.8,7.0,66.0,21.0
549,Anel Ahmedhodžić,ba BIH,DF,24.0,31,29,2.0,0.0,2.0,11.0,1.0,3.1,0.8,4.0,15.0,43.0,21.0
550,Wes Foderingham,eng ENG,GK,32.0,30,29,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
551,Auston Trusty,us USA,DF,24.0,32,28,0.0,0.0,0.0,4.0,0.0,0.4,1.1,1.5,10.0,40.0,15.0
552,Cameron Archer,eng ENG,"FW,MF",22.0,29,21,4.0,1.0,5.0,1.0,0.0,5.5,2.8,8.3,33.0,15.0,113.0
553,James Mcatee,eng ENG,"MF,FW",20.0,30,20,3.0,3.0,6.0,2.0,0.0,3.1,2.9,5.2,55.0,51.0,110.0
554,Oliver Norwood,nir NIR,MF,32.0,27,16,1.0,0.0,1.0,8.0,0.0,1.1,0.6,0.9,3.0,73.0,10.0
555,Oliver McBurnie,sct SCO,FW,27.0,21,15,6.0,3.0,9.0,7.0,2.0,6.9,2.0,7.3,6.0,30.0,60.0
556,Ben Osborn,eng ENG,"DF,MF",28.0,24,14,0.0,2.0,2.0,3.0,0.0,0.2,0.9,1.1,16.0,55.0,44.0
557,Ben Brereton,cl CHI,"FW,MF",24.0,14,14,6.0,1.0,7.0,3.0,0.0,6.1,1.5,6.7,23.0,37.0,78.0
558,Andre Brooks,eng ENG,"MF,DF",19.0,20,12,0.0,0.0,0.0,1.0,0.0,0.4,0.1,0.5,12.0,18.0,22.0
559,George Baldock,gr GRE,DF,30.0,13,11,0.0,1.0,1.0,4.0,0.0,0.0,0.8,0.8,9.0,31.0,24.0
560,Oliver Arblaster,eng ENG,MF,19.0,12,11,0.0,0.0,0.0,2.0,0.0,0.0,0.7,0.8,13.0,43.0,4.0
561,Luke Thomas,eng ENG,DF,22.0,12,11,0.0,0.0,0.0,3.0,0.0,0.5,0.1,0.6,8.0,33.0,22.0
562,William Osula,dk DEN,FW,19.0,21,9,0.0,0.0,0.0,4.0,0.0,1.6,0.1,1.7,7.0,2.0,41.0
563,Ivo Grbić,hr CRO,GK,27.0,9,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,Mason Holgate,eng ENG,DF,26.0,10,9,0.0,0.0,0.0,3.0,1.0,0.6,0.4,1.1,0.0,13.0,0.0
565,Yasser Larouci,dz ALG,DF,22.0,11,6,0.0,0.0,0.0,1.0,0.0,0.2,0.3,0.5,18.0,14.0,12.0
566,John Egan,ie IRL,DF,30.0,6,6,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.0,5.0,1.0
567,Max Lowe,eng ENG,"DF,MF",26.0,10,4,0.0,0.0,0.0,1.0,0.0,0.6,0.7,1.3,5.0,12.0,11.0
568,Anis Ben Slimane,tn TUN,MF,22.0,15,4,0.0,0.0,0.0,2.0,0.0,0.8,0.3,1.1,3.0,12.0,21.0
569,Bénie Adama Traore,ci CIV,"FW,MF",20.0,8,3,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,7.0,9.0,14.0
570,Rhian Brewster,eng ENG,"FW,MF",23.0,13,3,0.0,0.0,0.0,0.0,1.0,0.4,0.1,0.5,1.0,3.0,21.0
571,Chris Basham,eng ENG,"DF,MF",35.0,8,3,0.0,0.0,0.0,1.0,0.0,0.1,0.3,0.4,1.0,7.0,6.0
572,Tom Davies,eng ENG,MF,25.0,9,2,0.0,0.0,0.0,2.0,0.0,0.4,0.1,0.4,3.0,8.0,3.0
573,Rhys Norrington-Davies,wls WAL,DF,24.0,5,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0
574,John Fleck,sct SCO,"MF,DF",31.0,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4,2.0,3.0,0.0
575,Sam Curtis,ie IRL,DF,17.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
576,Daniel Jebbison,eng ENG,FW,19.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
577,Antwoine Hackford,eng ENG,FW,19.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,Sydie Peck,eng ENG,MF,18.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,Ryan One,sct SCO,FW,17.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
