,Player,Nation,Pos,Age,TotlMin,Games,sc_G,sc_A,sc_GA,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR
104,Ian Maatsen,nl NED,"FW,MF",21.0,12,1,0.0,0.0,0.0,1.0,0.0,0.8,0.1,0.9,9.0,8.0,15.0
105,Cesare Casadei,it ITA,"FW,MF",20.0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,3.0
106,Roméo Lavia,be BEL,MF,19.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,Deivid Washington,br BRA,"DF,FW",18.0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0
108,Mason Burstow,eng ENG,FW,19.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109,Joshua Acheampong,eng ENG,DF,17.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Alex Matos,eng ENG,MF,18.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Jimi Tauriainen,eng ENG,FW,19.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Bruno Guimarães,br BRA,MF,25.0,37,37,7.0,8.0,15.0,9.0,0.0,4.8,6.4,11.2,65.0,283.0,73.0
113,Fabian Schär,ch SUI,DF,31.0,36,35,4.0,1.0,5.0,5.0,0.0,2.5,0.7,3.3,28.0,133.0,20.0
114,Anthony Gordon,eng ENG,FW,22.0,35,34,11.0,10.0,21.0,12.0,1.0,10.2,8.0,17.4,138.0,101.0,232.0
115,Dan Burn,eng ENG,DF,31.0,33,32,2.0,2.0,4.0,4.0,0.0,3.1,1.1,4.2,14.0,75.0,25.0
116,Sean Longstaff,eng ENG,MF,25.0,35,30,6.0,2.0,8.0,7.0,0.0,6.6,2.3,8.8,24.0,145.0,116.0
117,Alexander Isak,se SWE,FW,23.0,30,27,21.0,2.0,23.0,1.0,0.0,20.3,3.7,19.3,68.0,71.0,129.0
118,Kieran Trippier,eng ENG,DF,32.0,28,26,1.0,10.0,11.0,5.0,0.0,0.7,7.5,8.2,34.0,157.0,128.0
119,Miguel Almirón,py PAR,FW,29.0,33,23,3.0,1.0,4.0,2.0,0.0,4.5,2.6,7.2,78.0,78.0,162.0
120,Martin Dúbravka,sk SVK,GK,34.0,23,22,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
121,Sven Botman,nl NED,DF,23.0,17,15,2.0,2.0,4.0,2.0,0.0,0.6,1.0,1.6,0.0,35.0,5.0
122,Nick Pope,eng ENG,GK,31.0,15,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Joelinton,br BRA,"MF,FW",26.0,20,15,2.0,1.0,3.0,6.0,0.0,3.1,2.8,5.9,29.0,56.0,60.0
124,Lewis Miley,eng ENG,MF,17.0,17,14,1.0,3.0,4.0,1.0,0.0,1.2,1.7,2.9,14.0,53.0,54.0
125,Jacob Murphy,eng ENG,"FW,DF",28.0,21,14,3.0,7.0,10.0,1.0,0.0,2.1,5.0,7.1,33.0,52.0,113.0
126,Jamaal Lascelles,eng ENG,DF,29.0,16,13,1.0,0.0,1.0,4.0,0.0,0.7,0.1,0.8,8.0,31.0,3.0
127,Valentino Livramento,eng ENG,DF,20.0,26,12,1.0,0.0,1.0,1.0,0.0,0.4,0.8,1.2,44.0,61.0,76.0
128,Elliot Anderson,sct SCO,"MF,FW",20.0,21,10,0.0,2.0,2.0,3.0,0.0,1.5,1.9,3.5,37.0,57.0,70.0
129,Callum Wilson,eng ENG,FW,31.0,20,9,9.0,1.0,10.0,3.0,0.0,8.8,0.6,7.8,11.0,9.0,77.0
130,Emil Krafth,se SWE,DF,28.0,17,8,0.0,0.0,0.0,2.0,0.0,0.2,1.0,1.2,12.0,29.0,33.0
131,Lewis Hall,eng ENG,DF,18.0,18,8,1.0,0.0,1.0,2.0,0.0,0.3,0.3,0.6,19.0,46.0,27.0
